source_key,raga,title,artist,performance_type,link,score,score_hits,rights_status,license_type,download_url,notes
yt_marwa_playlist_SK9JOD-KKsM,marwa,"Raagas Sohn,i Puriya and Marwa differences and similarities",,,https://www.youtube.com/watch?v=SK9JOD-KKsM,2,+raagas,reference_only,unknown,,
yt_marwa_playlist_9TIUz9oq-p8,marwa,"How to create Spiral Taan around a swar in any Raag - Demo in Marwa, Abhogi, Keerwani and Darbari",,,https://www.youtube.com/watch?v=9TIUz9oq-p8,2,+raag,reference_only,unknown,,
yt_marwa_playlist_tmjxHOa_QH4,marwa,Marwa (राग मारवा) Bada Khyal in Ektal Vilambit  tutorial  - Sab mil aaye nand bhuvan,,,https://www.youtube.com/watch?v=tmjxHOa_QH4,1,+vilambit,reference_only,unknown,,
yt_marwa_playlist_zvH6u1mjWHQ,marwa,Marwa  (राग मारवा) Chhota Khyal in Trital Drut tutorial  - Guru bin gyan kahan se paun,,,https://www.youtube.com/watch?v=zvH6u1mjWHQ,1,+drut,reference_only,unknown,,
yt_marwa_playlist_834LQV0ATjg,marwa,Marwa (राग मारवा) Chhota Khyal in Trital Drut tutorial  - Aaj mandirva aaye piya,,,https://www.youtube.com/watch?v=834LQV0ATjg,1,+drut,reference_only,unknown,,
yt_marwa_playlist_VkZvLtAUJGs,marwa,Marwa (राग मारवा) Aalap and Taan tutorial,,,https://www.youtube.com/watch?v=VkZvLtAUJGs,0,,reference_only,unknown,,
yt_marwa_playlist_0sEUzlkHWUQ,marwa,Marwa (राग मारवा) Bada Khyal in Jhaptal Sadra tutorial - Umariya biti jaat ri,,,https://www.youtube.com/watch?v=0sEUzlkHWUQ,0,,reference_only,unknown,,
yt_marwa_playlist_Aq_v7oqIxc0,marwa,Marwa (राग मारवा) Bada Khyal in Ektal Madhya laya tutorial - He kartar,,,https://www.youtube.com/watch?v=Aq_v7oqIxc0,0,,reference_only,unknown,,
yt_marwa_playlist_S5ky2QXxWJg,marwa,Marwa and Puriya difference and similarities,,,https://www.youtube.com/watch?v=S5ky2QXxWJg,0,,reference_only,unknown,,
